Home,Away,Miles,,,,,,
Aston Villa,Norwich,161,,,,,,
Aston Villa,Reading,116,,,,,,
Aston Villa,Southampton,142,,,,,,
Aston Villa,Crystal Palace,146,,,,,,
Aston Villa,Cardiff,118,,,,,,
Aston Villa,Leicester,41.4,,,,,,
Aston Villa,Bournemouth,167,,,,,,
Aston Villa,Watford,102,,,,,,
Aston Villa,Brighton,176,,,,,,
Aston Villa,Huddersfield,108,,,,,,
Aston Villa,Sheffield United,77.5,,,,,,
Aston Villa,Leeds,112,,,,,,
Chelsea,Man United,203,,,,,,
Chelsea,Blackburn,228,,,,,,
Chelsea,Fulham,1.5,,,,,,
Chelsea,Liverpool,215,,,,,,
Chelsea,Newcastle,281,,,,,,
Chelsea,Stoke,161,,,,,,
Chelsea,Tottenham,13.7,,,,,,
Chelsea,West Brom,127,,,,,,
Chelsea,Man City,205,,,,,,
Chelsea,Wigan,207,,,,,,
Chelsea,Portsmouth,69.9,,,,,,
Chelsea,Wolves,138,,,,,,
Chelsea,Birmingham,122,,,,,,
Chelsea,Burnley,241,,,,,,
Chelsea,Blackpool,242,,,,,,
Chelsea,QPR,3.9,,,,,,
Chelsea,Swansea,187,,,,,,
Chelsea,Norwich,123,,,,,,
Chelsea,Reading,39.7,,,,,,
Chelsea,Southampton,77.9,,,,,,
Chelsea,Crystal Palace,8.5,,,,,,
Chelsea,Cardiff,149,,,,,,
Chelsea,Leicester,105,,,,,,
Chelsea,Bournemouth,101,,,,,,
Chelsea,Watford,24.2,,,,,,
Chelsea,Brighton,62.9,,,,,,
Chelsea,Huddersfield,194,,,,,,
Chelsea,Sheffield United,163,,,,,,
Chelsea,Leeds,198,,,,,,
Man United,Blackburn,32.6,,,,,,
Man United,Fulham,208,,,,,,
Man United,Liverpool,32.1,,,,,,
Man United,Newcastle,151,,,,,,
Man United,Stoke,46.2,,,,,,
Man United,Tottenham,199,,,,,,
Man United,West Brom,81.4,,,,,,
Man United,Man City,4.5,,,,,,
Man United,Wigan,24.2,,,,,,
Man United,Portsmouth,243,,,,,,
Man United,Wolves,74.5,,,,,,
Man United,Birmingham,87.4,,,,,,
Man United,Burnley,30.8,,,,,,
Man United,Blackpool,50.6,,,,,,
Man United,QPR,203,,,,,,
Man United,Swansea,226,,,,,,
Man United,Norwich,219,,,,,,
Man United,Reading,199,,,,,,
Man United,Southampton,225,,,,,,
