Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,HPA,APA,HPG,APG,HCR,ACR,HP,AP,HSZA,HSZB,HSZC,ASZA,ASZB,ASZC,FTHG_P,FTAG_P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04-10-09,Chelsea,Liverpool,2,0,H,0,0,D,M Atkinson,12,12,8,3,14,17,5,8,1,1,0,0,0,0,0,0,20,38,51,49,2,4,6,0,5,7,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04-10-09,Everton,Stoke,1,1,D,0,0,D,A Marriner,24,8,17,6,5,15,11,4,1,3,0,0,0,0,0,0,35,19,60.7,39.3,0,7,17,0,3,5,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04-10-09,West Ham,Fulham,2,2,D,1,0,H,P Dowd,20,10,10,6,12,9,8,4,3,2,0,1,0,1,0,1,36,6,64.8,35.2,1,10,10,1,2,7,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05-10-09,Aston Villa,Man City,1,1,D,1,0,H,M Dean,12,9,6,7,10,8,6,6,1,2,0,0,0,0,0,0,26,30,43.8,56.2,1,8,3,1,4,5,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17-10-09,Arsenal,Birmingham,3,1,H,2,1,H,L Probert,20,3,12,2,8,16,7,3,1,2,0,0,0,0,0,0,36,14,63,37,2,10,8,2,0,1,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17-10-09,Aston Villa,Chelsea,2,1,H,1,1,D,K Friend,7,21,5,13,19,13,6,9,2,1,0,0,0,0,0,0,31,19,34.5,65.5,2,3,2,0,8,13,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17-10-09,Everton,Wolves,1,1,D,0,0,D,S Attwell,13,12,5,6,6,15,6,5,1,3,0,1,0,0,0,0,29,19,55.4,44.6,3,4,7,0,7,5,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17-10-09,Man United,Bolton,2,1,H,2,0,H,M Clattenburg,13,15,7,7,15,8,13,1,0,1,0,0,0,0,0,0,32,18,58.5,41.5,2,9,2,1,5,9,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17-10-09,Portsmouth,Tottenham,1,2,A,0,2,A,P Dowd,23,9,13,4,14,13,10,9,3,3,1,1,0,0,0,0,40,21,49.9,50.1,2,9,12,1,6,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17-10-09,Stoke,West Ham,2,1,H,1,1,D,M Atkinson,11,12,4,11,16,13,5,6,3,3,0,0,1,0,1,0,16,29,38.8,61.2,3,4,5,0,4,8,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17-10-09,Sunderland,Liverpool,1,0,H,1,0,H,M Jones,13,15,7,6,20,17,1,7,2,1,0,0,0,0,0,0,22,27,32,68,0,7,6,1,6,8,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18-10-09,Blackburn,Burnley,3,2,H,3,1,H,C Foy,12,9,6,5,18,14,3,2,3,3,0,0,0,0,0,0,16,16,46,54,1,7,4,1,2,6,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
